txn_id,order_id,amount,currency,timestamp,status
TXN_00001,ORD_00001,6996.26,INR,2024-12-20T18:11:00,captured
TXN_00002,ORD_00002,1632.49,INR,2024-08-04T10:20:00,captured
TXN_00003,ORD_00003,2255.24,INR,2024-02-12T23:04:00,captured
TXN_00004,ORD_00004,5833.88,INR,2024-02-14T18:18:00,captured
TXN_00005,ORD_00005,7504.96,INR,2024-02-12T00:02:00,captured
TXN_00006,ORD_00006,596.41,INR,2024-12-13T13:28:00,captured
TXN_00007,ORD_00007,5078.22,INR,2024-04-25T00:20:00,captured
TXN_00008,ORD_00008,663.11,INR,2024-02-28T17:02:00,captured
TXN_00009,ORD_00009,8528.29,INR,2024-02-20T06:29:00,captured
TXN_00010,ORD_00010,4097.38,INR,2024-06-28T15:55:00,captured
TXN_00011,ORD_00011,5831.30,INR,2024-01-30T07:32:00,captured
TXN_00012,ORD_00012,6607.99,INR,2024-08-18T17:57:00,captured
TXN_00013,ORD_00013,9353.59,INR,2024-05-29T02:41:00,captured
TXN_00014,ORD_00014,6730.29,INR,2024-08-17T03:45:00,captured
TXN_00015,ORD_00015,2462.99,INR,2024-10-15T13:51:00,captured
TXN_00016,ORD_00016,1395.69,INR,2024-08-06T19:49:00,captured
TXN_00017,ORD_00017,4626.52,INR,2024-02-23T04:46:00,captured
TXN_00018,ORD_00018,192.22,INR,2024-03-14T04:17:00,captured
TXN_00019,ORD_00019,825.28,INR,2024-06-04T14:08:00,captured
TXN_00020,ORD_00020,5108.26,INR,2024-04-06T19:50:00,captured
TXN_00021,ORD_00021,9339.27,INR,2024-02-20T11:12:00,captured
TXN_00022,ORD_00022,8804.78,INR,2024-09-26T10:57:00,captured
TXN_00023,ORD_00023,8354.08,INR,2024-08-08T15:52:00,captured
TXN_00024,ORD_00024,6155.61,INR,2024-01-07T01:43:00,captured
TXN_00025,ORD_00025,6711.85,INR,2024-08-06T09:01:00,captured
TXN_00026,ORD_00026,9324.38,INR,2024-03-16T19:18:00,captured
TXN_00027,ORD_00027,9395.41,INR,2024-04-08T03:54:00,captured
TXN_00028,ORD_00028,2718.21,INR,2024-03-19T07:35:00,captured
TXN_00029,ORD_00029,7449.93,INR,2024-04-23T13:38:00,captured
TXN_00030,ORD_00030,2889.39,INR,2024-06-02T18:01:00,captured
TXN_00031,ORD_00031,6906.22,INR,2024-07-11T14:27:00,captured
TXN_00032,ORD_00032,5103.55,INR,2024-07-02T05:39:00,captured
TXN_00033,ORD_00033,9062.83,INR,2024-02-07T08:46:00,captured
TXN_00034,ORD_00034,1013.75,INR,2024-11-04T19:31:00,captured
TXN_00035,ORD_00035,8310.55,INR,2024-02-02T11:28:00,captured
TXN_00036,ORD_00036,135.10,INR,2024-04-05T15:14:00,captured
TXN_00037,ORD_00037,6407.42,INR,2024-07-10T03:00:00,captured
TXN_00038,ORD_00038,1699.66,INR,2024-11-18T02:38:00,captured
TXN_00039,ORD_00039,5561.64,INR,2024-11-07T19:22:00,captured
TXN_00040,ORD_00040,5652.98,INR,2024-03-22T20:08:00,captured
TXN_00041,ORD_00041,844.91,INR,2024-04-18T21:54:00,captured
TXN_00042,ORD_00042,5501.34,INR,2024-09-26T05:31:00,captured
TXN_00043,ORD_00043,5866.84,INR,2024-04-18T05:07:00,captured
TXN_00044,ORD_00044,4354.89,INR,2024-01-31T20:00:00,partial_refund
TXN_00045,ORD_00045,8999.92,INR,2024-01-30T10:12:00,captured
TXN_00046,ORD_00046,8999.35,INR,2024-06-02T08:21:00,captured
TXN_00047,ORD_00047,6852.46,INR,2024-03-16T05:26:00,captured
TXN_00048,ORD_00048,3601.42,INR,2024-10-23T06:57:00,captured
TXN_00049,ORD_00049,9740.99,INR,2024-04-22T22:00:00,captured
TXN_00050,ORD_00050,9265.06,INR,2024-06-21T18:17:00,captured
TXN_00051,ORD_00051,8659.60,INR,2024-05-09T07:12:00,captured
TXN_00052,ORD_00052,1875.67,INR,2024-08-30T06:21:00,captured
TXN_00053,ORD_00053,7845.63,INR,2024-10-27T04:12:00,captured
TXN_00054,ORD_00054,2741.38,INR,2024-03-20T02:06:00,captured
TXN_00055,ORD_00055,3887.16,INR,2024-01-29T13:45:00,captured
TXN_00056,ORD_00056,8600.07,INR,2024-06-11T08:18:00,captured
TXN_00057,ORD_00057,2075.77,INR,2024-12-01T13:22:00,captured
TXN_00058,ORD_00058,3561.62,INR,2024-06-15T02:31:00,captured
TXN_00059,ORD_00059,2306.94,INR,2024-05-21T00:11:00,captured
TXN_00060,ORD_00060,4044.81,INR,2024-07-22T05:56:00,captured
TXN_00061,ORD_00061,8657.09,INR,2024-07-22T15:03:00,captured
TXN_00062,ORD_00062,3576.35,INR,2024-10-18T09:53:00,captured
TXN_00063,ORD_00063,6827.23,INR,2024-08-29T12:15:00,captured
TXN_00064,ORD_00064,9398.45,INR,2024-03-25T08:44:00,captured
TXN_00065,ORD_00065,8782.68,INR,2024-07-09T14:03:00,captured
TXN_00066,ORD_00066,1867.82,INR,2024-07-12T16:21:00,captured
TXN_00067,ORD_00067,478.75,INR,2024-11-12T19:33:00,captured
TXN_00068,ORD_00068,3522.30,INR,2024-08-16T18:54:00,captured
TXN_00069,ORD_00069,4420.30,INR,2024-03-25T14:03:00,captured
TXN_00070,ORD_00070,3913.43,INR,2024-05-18T18:52:00,captured
TXN_00071,ORD_00071,2621.75,INR,2024-11-13T21:39:00,captured
TXN_00072,ORD_00072,116.74,INR,2024-05-23T20:26:00,captured
TXN_00073,ORD_00073,3705.79,INR,2024-02-21T07:52:00,captured
TXN_00074,ORD_00074,9493.86,INR,2024-08-28T19:39:00,captured
TXN_00075,ORD_00075,6269.24,INR,2024-04-01T02:59:00,captured
TXN_00076,ORD_00076,7225.57,INR,2024-08-07T01:30:00,captured
TXN_00077,ORD_00077,3329.21,INR,2024-08-03T15:56:00,captured
TXN_00078,ORD_00078,5588.68,INR,2024-05-20T01:38:00,captured
TXN_00079,ORD_00079,4262.42,INR,2024-10-03T11:02:00,captured
TXN_00080,ORD_00080,6805.45,INR,2024-05-07T02:20:00,captured
TXN_00081,ORD_00081,6193.60,INR,2024-08-07T12:28:00,captured
TXN_00082,ORD_00082,4120.14,INR,2024-01-01T16:05:00,captured
TXN_00083,ORD_00083,3108.36,INR,2024-06-02T10:12:00,captured
TXN_00084,ORD_00084,4355.89,INR,2024-08-23T00:42:00,captured
TXN_00085,ORD_00085,4703.38,INR,2024-11-18T08:18:00,captured
TXN_00086,ORD_00086,6788.71,INR,2024-12-10T22:31:00,captured
TXN_00087,ORD_00087,7957.98,INR,2024-05-03T22:34:00,captured
TXN_00088,ORD_00088,6622.62,INR,2024-07-26T00:31:00,captured
TXN_00089,ORD_00089,5202.97,INR,2024-09-01T10:50:00,captured
TXN_00090,ORD_00090,1024.53,INR,2024-06-20T09:37:00,captured
TXN_00091,ORD_00091,6760.68,INR,2024-06-12T22:52:00,captured
TXN_00092,ORD_00092,8084.97,INR,2024-04-17T16:11:00,captured
TXN_00093,ORD_00093,341.81,INR,2024-06-27T15:56:00,captured
TXN_00094,ORD_00094,9840.97,INR,2024-02-23T09:45:00,captured
TXN_00095,ORD_00095,4202.97,INR,2024-05-21T23:00:00,captured
TXN_00096,ORD_00096,7211.62,INR,2024-10-06T23:30:00,captured
TXN_00097,ORD_00097,4994.33,INR,2024-06-27T00:56:00,captured
TXN_00098,ORD_00098,1560.96,INR,2024-01-05T09:54:00,captured
TXN_00099,ORD_00099,8937.33,INR,2024-03-18T23:44:00,captured
TXN_00100,ORD_00100,7806.36,INR,2024-06-08T17:31:00,captured
TXN_00101,ORD_00101,1841.28,INR,2024-12-04T15:35:00,captured
TXN_00102,ORD_00102,597.16,INR,2024-06-30T20:03:00,captured
TXN_00103,ORD_00103,9182.95,INR,2024-03-29T17:53:00,captured
TXN_00104,ORD_00104,4618.97,INR,2024-12-04T17:13:00,captured
TXN_00105,ORD_00105,6709.02,INR,2024-08-19T10:11:00,partial_refund
TXN_00106,ORD_00106,8925.12,INR,2024-11-07T02:50:00,captured
TXN_00107,ORD_00107,8322.63,INR,2024-11-21T01:54:00,captured
TXN_00108,ORD_00108,8982.36,INR,2024-12-12T00:32:00,captured
TXN_00109,ORD_00109,8414.64,INR,2024-07-21T07:22:00,partial_refund
TXN_00110,ORD_00110,5260.87,INR,2024-06-23T14:07:00,captured
TXN_00111,ORD_00111,2818.51,INR,2024-02-26T19:07:00,captured
TXN_00112,ORD_00112,2928.71,INR,2024-07-17T05:33:00,captured
TXN_00113,ORD_00113,3424.89,INR,2024-02-29T01:11:00,captured
TXN_00114,ORD_00114,1469.90,INR,2024-06-17T18:35:00,captured
TXN_00115,ORD_00115,3892.05,INR,2024-04-21T15:27:00,captured
TXN_00116,ORD_00116,7093.55,INR,2024-02-17T03:28:00,captured
TXN_00117,ORD_00117,4207.19,INR,2024-08-29T07:34:00,captured
TXN_00118,ORD_00118,5471.85,INR,2024-10-30T03:10:00,captured
TXN_00119,ORD_00119,716.43,INR,2024-11-02T07:32:00,captured
TXN_00120,ORD_00120,3955.82,INR,2024-01-15T14:20:00,captured
TXN_00121,ORD_00121,8581.65,INR,2024-10-04T08:38:00,captured
TXN_00122,ORD_00122,4822.10,INR,2024-09-13T12:25:00,captured
TXN_00123,ORD_00123,8549.13,INR,2024-11-01T11:55:00,captured
TXN_00124,ORD_00124,5428.38,INR,2024-06-09T23:11:00,partial_refund
TXN_00125,ORD_00125,2802.06,INR,2024-12-20T00:12:00,captured
TXN_00126,ORD_00126,387.35,INR,2024-09-02T03:17:00,captured
TXN_00127,ORD_00127,6721.85,INR,2024-10-21T18:56:00,captured
TXN_00128,ORD_00128,9203.46,INR,2024-01-21T00:16:00,captured
TXN_00129,ORD_00129,9078.60,INR,2024-01-21T02:38:00,partial_refund
TXN_00130,ORD_00130,4343.27,INR,2024-12-02T13:45:00,captured
TXN_00131,ORD_00131,1899.12,INR,2024-07-08T19:33:00,captured
TXN_00132,ORD_00132,3853.13,INR,2024-06-03T12:01:00,captured
TXN_00133,ORD_00133,7636.17,INR,2024-10-03T10:42:00,captured
TXN_00134,ORD_00134,2854.74,INR,2024-11-03T08:22:00,captured
TXN_00135,ORD_00135,8365.62,INR,2024-12-08T20:12:00,captured
TXN_00136,ORD_00136,291.89,INR,2024-02-08T07:15:00,captured
TXN_00137,ORD_00137,9999.09,INR,2024-09-12T05:00:00,captured
TXN_00138,ORD_00138,2319.80,INR,2024-02-20T08:11:00,captured
TXN_00139,ORD_00139,7834.21,INR,2024-01-30T16:33:00,captured
TXN_00140,ORD_00140,7566.91,INR,2024-06-29T10:35:00,captured
TXN_00141,ORD_00141,2073.67,INR,2024-01-16T05:09:00,captured
TXN_00142,ORD_00142,6251.22,INR,2024-06-23T01:52:00,partial_refund
TXN_00143,ORD_00143,6727.64,INR,2024-06-08T02:12:00,captured
TXN_00144,ORD_00144,7692.29,INR,2024-05-02T13:19:00,captured
TXN_00145,ORD_00145,6098.34,INR,2024-03-24T18:36:00,captured
TXN_00146,ORD_00146,7800.14,INR,2024-04-29T15:00:00,captured
TXN_00147,ORD_00147,9650.74,INR,2024-03-20T02:09:00,captured
TXN_00148,ORD_00148,5828.98,INR,2024-08-15T12:50:00,captured
TXN_00149,ORD_00149,4026.88,INR,2024-05-24T19:03:00,captured
TXN_00150,ORD_00150,852.37,INR,2024-06-26T05:06:00,captured
TXN_00151,ORD_00151,1108.82,INR,2024-08-07T23:32:00,captured
TXN_00152,ORD_00152,8517.90,INR,2024-03-29T12:35:00,partial_refund
TXN_00153,ORD_00153,5702.73,INR,2024-01-31T06:44:00,captured
TXN_00154,ORD_00154,3537.32,INR,2024-11-08T07:26:00,captured
TXN_00155,ORD_00155,6649.06,INR,2024-02-20T14:06:00,captured
TXN_00156,ORD_00156,5109.01,INR,2024-09-05T20:26:00,captured
TXN_00157,ORD_00157,225.26,INR,2024-11-02T06:03:00,captured
TXN_00158,ORD_00158,4391.88,INR,2024-09-21T02:41:00,captured
TXN_00159,ORD_00159,7102.36,INR,2024-11-13T11:41:00,captured
TXN_00160,ORD_00160,1843.76,INR,2024-07-16T01:01:00,captured
TXN_00161,ORD_00161,6197.53,INR,2024-12-18T10:43:00,captured
TXN_00162,ORD_00162,4702.25,INR,2024-07-14T19:33:00,captured
TXN_00163,ORD_00163,3290.82,INR,2024-06-28T03:20:00,captured
TXN_00164,ORD_00164,8324.24,INR,2024-03-04T11:32:00,captured
TXN_00165,ORD_00165,2861.39,INR,2024-11-24T15:20:00,captured
TXN_00166,ORD_00166,2514.25,INR,2024-12-04T18:22:00,captured
TXN_00167,ORD_00167,5741.51,INR,2024-10-03T08:19:00,captured
TXN_00168,ORD_00168,3430.33,INR,2024-12-26T07:37:00,captured
TXN_00169,ORD_00169,8524.43,INR,2024-05-12T18:52:00,captured
TXN_00170,ORD_00170,4926.74,INR,2024-09-15T18:00:00,captured
TXN_00171,ORD_00171,7998.54,INR,2024-09-05T04:51:00,captured
TXN_00172,ORD_00172,2868.62,INR,2024-07-20T13:08:00,captured
TXN_00173,ORD_00173,947.57,INR,2024-10-23T07:50:00,captured
TXN_00174,ORD_00174,4936.92,INR,2024-06-24T08:57:00,captured
TXN_00175,ORD_00175,4536.93,INR,2024-01-13T22:20:00,captured
TXN_00176,ORD_00176,1021.23,INR,2024-06-10T17:40:00,captured
TXN_00177,ORD_00177,4103.57,INR,2024-06-26T13:03:00,captured
TXN_00178,ORD_00178,3131.44,INR,2024-09-26T02:05:00,captured
TXN_00179,ORD_00179,4785.28,INR,2024-09-07T16:35:00,captured
TXN_00180,ORD_00180,4312.49,INR,2024-08-29T05:59:00,captured
TXN_00181,ORD_00181,3582.92,INR,2024-11-26T18:46:00,captured
TXN_00182,ORD_00182,2782.07,INR,2024-07-02T10:35:00,captured
TXN_00183,ORD_00183,2382.33,INR,2024-05-20T14:39:00,captured
TXN_00184,ORD_00184,3223.92,INR,2024-05-15T04:43:00,captured
TXN_00185,ORD_00185,1996.26,INR,2024-12-18T22:59:00,captured
TXN_00186,ORD_00186,2837.35,INR,2024-07-25T10:45:00,captured
TXN_00187,ORD_00187,9807.06,INR,2024-05-21T17:27:00,captured
TXN_00188,ORD_00188,3032.84,INR,2024-09-20T03:51:00,captured
TXN_00189,ORD_00189,1876.47,INR,2024-01-11T16:15:00,captured
TXN_00190,ORD_00190,7109.38,INR,2024-04-02T13:11:00,captured
TXN_00191,ORD_00191,2815.68,INR,2024-02-10T01:54:00,captured
TXN_00192,ORD_00192,5578.25,INR,2024-04-02T07:53:00,captured
TXN_00193,ORD_00193,6414.91,INR,2024-12-23T19:43:00,captured
TXN_00194,ORD_00194,1115.62,INR,2024-01-10T07:21:00,captured
TXN_00195,ORD_00195,5783.24,INR,2024-12-08T04:18:00,captured
TXN_00196,ORD_00196,4839.27,INR,2024-09-05T11:16:00,captured
TXN_00197,ORD_00197,1925.20,INR,2024-02-07T18:52:00,captured
TXN_00198,ORD_00198,2599.54,INR,2024-12-14T05:55:00,captured
TXN_00199,ORD_00199,1229.46,INR,2024-02-17T22:57:00,captured
TXN_00200,ORD_00200,4067.00,INR,2024-02-24T07:40:00,captured
TXN_00201,ORD_00201,5812.51,INR,2024-02-09T09:53:00,captured
TXN_00202,ORD_00202,1602.10,INR,2024-08-09T14:54:00,captured
TXN_00203,ORD_00203,943.29,INR,2024-06-30T02:27:00,captured
TXN_00204,ORD_00204,1272.67,INR,2024-10-30T10:10:00,partial_refund
TXN_00205,ORD_00205,7928.33,INR,2024-06-13T17:10:00,captured
TXN_00206,ORD_00206,4560.09,INR,2024-11-18T18:06:00,captured
TXN_00207,ORD_00207,3043.80,INR,2024-11-08T15:20:00,captured
TXN_00208,ORD_00208,6135.35,INR,2024-03-13T15:13:00,captured
TXN_00209,ORD_00209,9481.14,INR,2024-05-31T16:21:00,captured
TXN_00210,ORD_00210,6292.60,INR,2024-07-12T02:01:00,captured
